City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Aljezur,100,PT,1612538596,100,37.3191,-8.8033,54.0,1.99
Oceanside,1,US,1612538521,100,33.1959,-117.3795,46.4,3.09
Hasaki,75,JP,1612538299,81,35.7333,140.8333,41.0,2.3
Changde,0,CN,1612538596,89,29.0464,111.6783,44.49,5.32
Castro,0,BR,1612538596,57,-24.7911,-50.0119,73.08,7.65
Acapulco de Juárez,20,MX,1612538597,83,16.8634,-99.8901,78.8,3.44
Yellowknife,1,CA,1612538331,67,62.456,-114.3525,-38.2,6.91
Palmas,75,BR,1612538425,62,-10.2128,-48.3603,87.8,3.44
Lebu,61,CL,1612538356,75,-37.6167,-73.65,63.64,11.34
Chapais,1,CA,1612538597,92,49.7834,-74.8492,15.8,12.66
Saint Paul Harbor,75,US,1612538597,86,57.79,-152.4072,24.8,6.91
Rikitea,52,PF,1612538588,73,-23.1203,-134.9692,77.88,12.82
Timrå,40,SE,1612538597,86,62.487,17.3257,23.0,9.22
Khatanga,26,RU,1612538597,78,71.9667,102.5,-30.12,8.25
Tyukhtet,100,RU,1612538597,95,56.5389,89.3011,5.92,4.72
Barrow,90,US,1612538386,76,71.2906,-156.7887,-18.4,12.66
Yazd,0,IR,1612538598,14,31.8972,54.3675,64.4,4.61
Bredasdorp,0,ZA,1612538598,60,-34.5322,20.0403,75.2,12.66
Hanzhong,92,CN,1612538598,50,33.0728,107.0303,47.37,0.81
Mataura,100,NZ,1612538598,94,-46.1927,168.8643,47.46,1.59
Wattegama,90,LK,1612538418,89,6.7989,81.4808,78.8,10.36
Busselton,93,AU,1612538598,66,-33.65,115.3333,62.01,1.01
Vardø,75,NO,1612538598,80,70.3705,31.1107,28.4,10.36
Leningradskiy,100,RU,1612538599,87,69.3833,178.4167,-13.86,9.31
Saint-Augustin,100,CA,1612538599,97,51.226,-58.6502,32.45,17.9
Tezu,0,IN,1612538599,27,27.9167,96.1667,64.54,5.17
Wajid,0,SO,1612538599,18,3.8093,43.2471,92.61,8.97
Shenjiamen,99,CN,1612538599,93,29.9576,122.298,49.69,8.7
Port Elizabeth,20,ZA,1612538599,73,-33.918,25.5701,75.2,17.27
Santa Marta,69,CO,1612538599,72,11.2408,-74.199,87.01,1.99
Bluff,100,NZ,1612538599,86,-46.6,168.3333,53.17,4.07
Carnarvon,90,AU,1612538600,80,-24.8667,113.6333,80.6,19.57
Flinders,100,AU,1612538600,83,-34.5833,150.8552,73.99,4.0
Borogontsy,97,RU,1612538600,79,62.6683,131.1683,-40.52,1.23
Kutum,0,SD,1612538600,19,14.2,24.6667,72.61,20.09
Gogrial,0,SS,1612538600,10,8.5332,28.1004,95.32,9.8
San Patricio,90,US,1612538600,55,28.017,-97.5169,60.8,14.97
Alugan,75,PH,1612538600,87,12.2188,125.4808,80.26,10.51
Baykit,100,RU,1612538600,89,61.67,96.37,-0.13,2.86
Pandan,86,PH,1612538600,87,14.0453,124.1694,77.95,11.07
Havre-St-Pierre,90,CA,1612538601,93,50.2334,-63.5986,33.8,10.36
Gorontalo,100,ID,1612538601,88,0.5412,123.0595,75.65,4.0
Isiro,100,CD,1612538601,29,2.7739,27.616,91.15,2.91
Esperance,75,AU,1612538601,88,-33.8667,121.9,59.0,11.5
Linhares,100,BR,1612538601,51,-19.3911,-40.0722,90.0,8.41
Vila Franca do Campo,20,PT,1612538601,58,37.7167,-25.4333,59.0,12.66
Fayaoué,0,NC,1612538601,82,-20.65,166.5333,79.95,14.09
Cockburn Town,6,TC,1612538601,80,21.4612,-71.1419,76.28,19.24
Balakhta,97,RU,1612538601,92,55.38,91.6,4.55,2.35
Kiama,100,AU,1612538602,86,-34.6833,150.8667,73.99,7.0
Forsytheganj,26,BY,1612538602,95,52.6333,29.7333,14.79,6.69
Sibolga,100,ID,1612538602,83,1.7427,98.7792,77.65,3.42
Atuona,40,PF,1612538602,78,-9.8,-139.0333,79.09,14.7
Adré,5,TD,1612538602,14,13.4667,22.2,82.63,19.93
Port Hedland,32,AU,1612538602,89,-20.3167,118.5667,78.8,5.75
Cumaru,67,BR,1612538602,48,-8.0061,-35.6972,87.26,11.52
Port-Gentil,75,GA,1612538602,79,-0.7193,8.7815,86.0,13.8
Souillac,40,MU,1612538602,69,-20.5167,57.5167,82.4,13.8
Murayama,100,JP,1612538603,90,38.5193,140.3346,34.2,4.34
Hamilton,40,US,1612538446,59,39.1834,-84.5333,30.2,14.97
Ixtapa,1,MX,1612538603,72,20.7,-105.2,60.8,6.91
San Quintín,0,MX,1612538603,84,30.4833,-115.95,52.63,3.42
Lima,40,PE,1612538311,73,-12.0432,-77.0282,73.4,6.91
Half Moon Bay,1,US,1612538603,87,37.4636,-122.4286,48.0,3.38
George Town,20,MY,1612538436,74,5.4112,100.3354,84.2,3.44
La Asuncion,78,VE,1612538603,75,11.0333,-63.8628,79.54,19.51
Challans,90,FR,1612538603,82,46.8436,-1.8749,53.6,6.91
Cap Malheureux,1,MU,1612538603,73,-19.9842,57.6142,81.0,7.0
Boysun,100,UZ,1612538542,55,38.2061,67.1986,42.49,5.75
Tuatapere,100,NZ,1612538604,88,-46.1333,167.6833,52.9,1.41
Saskylakh,100,RU,1612538604,84,71.9167,114.0833,-29.54,5.53
Dwārka,0,IN,1612538604,54,22.2394,68.9678,70.9,10.96
Mantenópolis,100,BR,1612538604,61,-18.8625,-41.1228,84.56,5.55
Tasiilaq,20,GL,1612538604,58,65.6145,-37.6368,23.0,2.3
Chui,73,UY,1612538605,68,-33.6971,-53.4616,67.96,13.31
Bilibino,12,RU,1612538605,81,68.0546,166.4372,-20.29,4.68
Mortka,100,RU,1612538605,98,59.3322,66.0214,23.77,7.94
Daru,100,PG,1612538605,83,-9.0763,143.2092,79.84,9.82
Airai,100,TL,1612538605,100,-8.9266,125.4092,61.93,2.59
Lompoc,1,US,1612538605,100,34.6391,-120.4579,48.0,4.61
Zhangjiakou,0,CN,1612538605,86,40.81,114.8794,29.75,6.87
East London,90,ZA,1612538605,94,-33.0153,27.9116,69.8,4.61
Cidreira,88,BR,1612538486,73,-30.1811,-50.2056,72.05,19.17
Katherine,90,AU,1612538605,94,-14.4667,132.2667,73.4,8.05
Valparaíso,90,CL,1612538471,100,-33.0393,-71.6273,63.0,5.75
Avarua,63,CK,1612538606,94,-21.2078,-159.775,73.4,2.3
Emerald,43,AU,1612538606,69,-23.5333,148.1667,78.8,10.36
Nadym,100,RU,1612538606,87,65.5333,72.5167,-18.9,6.2
Butaritari,100,KI,1612538606,83,3.0707,172.7902,80.38,12.08
Severo-Kuril'sk,81,RU,1612538606,84,50.6789,156.125,11.68,6.13
Norman Wells,75,CA,1612538606,68,65.282,-126.8329,-27.4,19.57
Winsum,100,NL,1612538606,97,53.33,6.5208,37.99,1.99
Praia,75,CV,1612538607,64,14.9215,-23.5087,73.4,19.57
Auki,86,SB,1612538607,85,-8.7676,160.7034,77.85,7.83
Husavik,0,IS,1612538318,74,66.0449,-17.3389,23.0,5.75
Dakar,40,SN,1612538607,73,14.6937,-17.4441,69.8,21.85
Abasolo,1,MX,1612538607,26,20.45,-101.5167,57.2,1.83
Norrtälje,100,SE,1612538339,73,59.758,18.705,28.99,1.99
Al Bardīyah,9,LY,1612538607,77,31.7561,25.0865,62.58,14.79
Novo Oriente,12,BR,1612538607,31,-5.5344,-40.7742,94.08,7.56
Aksu,37,CN,1612538607,81,41.1231,80.2644,29.03,2.48
Ribeira Grande,40,PT,1612538356,63,38.5167,-28.7,60.8,11.5
Skovorodino,90,RU,1612538608,83,53.9833,123.9167,-18.89,3.2
Longyearbyen,75,SJ,1612538608,79,78.2186,15.6401,17.6,5.75
Dikson,3,RU,1612538608,84,73.5069,80.5464,-30.93,14.36
Necochea,0,AR,1612538606,25,-38.5473,-58.7368,81.97,3.69
Lotofaga,90,WS,1612538608,94,-13.9764,-171.8578,73.4,10.36
Pingxiang,96,CN,1612538608,89,27.6167,113.85,49.89,2.59
Kalengwa,16,ZM,1612538608,65,-13.4659,25.0027,80.15,1.7
Waingapu,100,ID,1612538608,82,-9.6567,120.2641,78.96,8.1
Lorengau,95,PG,1612538608,80,-2.0226,147.2712,80.22,5.97
Wanning,56,CN,1612538609,88,18.8003,110.3967,69.1,7.31
Sivaki,100,RU,1612538609,88,52.6333,126.75,-16.87,4.97
Paris,75,FR,1612538240,76,48.8534,2.3488,54.0,4.61
Armidale,100,AU,1612538609,85,-30.5167,151.65,62.01,3.0
Mwinilunga,18,ZM,1612538609,67,-11.7358,24.4293,77.5,2.55
San Cristobal,40,VE,1612538545,61,7.7669,-72.225,84.2,5.75
Nanortalik,0,GL,1612538609,79,60.1432,-45.2371,23.07,1.28
Jingdezhen,76,CN,1612538609,91,29.2947,117.2079,49.14,1.21
Shuyskoye,100,RU,1612538610,94,59.3736,41.0305,6.04,8.55
Champasak,0,LA,1612538610,57,14.75,106.0,71.62,0.87
Cherskiy,0,RU,1612538610,78,68.75,161.3,-12.59,8.3
Madimba,75,TZ,1612538610,66,-10.4,40.3333,86.0,13.8
Rincon,90,US,1612538318,71,32.296,-81.2354,57.0,10.36
Lata,100,PT,1612538610,84,40.1629,-8.3327,55.99,1.99
Bayreuth,100,DE,1612538610,81,49.9481,11.5783,43.0,1.01
Eyl,94,SO,1612538610,70,7.9803,49.8164,74.95,15.23
Geraldton,40,AU,1612538610,68,-28.7667,114.6,68.0,14.97
Bodden Town,75,KY,1612538610,74,19.2833,-81.25,80.6,11.5
Praia da Vitória,40,PT,1612538611,63,38.7333,-27.0667,60.01,17.07
Muncar,100,ID,1612538611,88,-8.4333,114.3333,77.09,3.47
Kostino,100,RU,1612538611,98,58.9097,53.2691,34.27,6.33
Apozol,0,MX,1612538611,23,21.4833,-103.1,66.78,0.58
Portland,90,US,1612538532,93,45.5234,-122.6762,45.0,13.8
Barrhead,90,GB,1612538404,93,55.7992,-4.3929,39.2,19.57
North Bend,90,US,1612538611,93,43.4065,-124.2243,42.01,10.36
Teguise,40,ES,1612538611,67,29.0605,-13.564,60.8,17.27
Eydhafushi,25,MV,1612538611,71,5.1033,73.0708,82.0,10.25
São Filipe,100,CV,1612538612,72,14.8961,-24.4956,71.92,15.95
Bambous Virieux,40,MU,1612538612,69,-20.3428,57.7575,82.4,13.8
Michigan City,90,US,1612538612,62,41.7075,-86.895,16.0,19.57
Honiara,74,SB,1612538612,81,-9.4333,159.95,78.01,4.18
Alta Floresta,75,BR,1612538612,100,-9.8756,-56.0861,75.2,3.44
Mondlo,84,ZA,1612538612,79,-27.983,30.7177,73.96,11.65
Gorodets,75,RU,1612538612,79,56.6514,43.475,15.8,13.42
Yar-Sale,98,RU,1612538612,86,66.8333,70.8333,-24.5,5.37
Santa Cruz,75,MA,1612538613,82,30.4202,-9.5982,59.0,17.27
Kloulklubed,75,PW,1612538613,83,7.0419,134.2556,80.6,9.22
Grindavik,75,IS,1612538613,87,63.8424,-22.4338,37.4,29.93
Fort Morgan,75,US,1612538613,34,40.2503,-103.8,32.0,6.91
Freeport,90,US,1612538418,81,40.6576,-73.5832,39.99,13.8
Kano,90,NG,1612538613,15,12.0001,8.5167,82.4,11.5
Bolobo,24,CD,1612538613,39,-2.1667,16.2333,92.61,2.04
Nova Granada,40,BR,1612538613,61,-20.5339,-49.3142,82.4,6.91
Chokurdakh,98,RU,1612538613,87,70.6333,147.9167,-16.17,13.47
Muros,83,ES,1612538613,75,42.7762,-9.0603,55.0,15.3
Nizhniy Kuranakh,91,RU,1612538614,83,58.8353,125.4869,-25.49,2.98
Kabanjahe,20,ID,1612538614,94,3.1001,98.4908,78.8,5.75
Hong Kong,0,HK,1612538318,74,22.2855,114.1577,66.99,5.88
Srandakan,95,ID,1612538614,86,-7.9386,110.2506,78.17,5.23
Bosansko Grahovo,100,BA,1612538614,65,44.1794,16.3639,60.01,5.99
Berlevåg,75,NO,1612538614,86,70.8578,29.0864,28.4,23.02
Atherton,42,GB,1612538614,70,53.5237,-2.4935,48.99,5.99
Samarai,2,PG,1612538588,78,-10.6167,150.6667,81.55,4.29
Cayenne,75,GF,1612538614,78,4.9333,-52.3333,82.4,16.11
Saint George,1,US,1612538615,64,37.1041,-113.5841,30.2,5.75
Yinchuan,0,CN,1612538615,64,38.4681,106.2731,36.09,6.82
Canto do Buriti,46,BR,1612538615,44,-8.11,-42.9444,92.05,5.55
Port Augusta,1,AU,1612538615,72,-32.5,137.7667,64.4,10.36
Weligama,90,LK,1612538615,80,5.9667,80.4167,78.19,6.17
Itarema,4,BR,1612538615,53,-2.9248,-39.9167,87.35,17.27
Okhotsk,97,RU,1612538615,85,59.3833,143.3,-0.78,8.61
Ucluelet,20,CA,1612538615,100,48.9329,-125.5528,43.0,3.44
Gambēla,0,ET,1612538615,15,8.25,34.5833,100.33,4.5
Seoul,75,KR,1612538458,80,37.5683,126.9778,35.6,3.44
Visby,75,SE,1612538339,63,57.6409,18.296,23.0,11.5
Yerofey Pavlovich,100,RU,1612538616,84,53.9667,121.9667,-12.01,4.43
Pevek,65,RU,1612538616,88,69.7008,170.3133,-14.89,2.57
Tumpat,20,MY,1612538616,78,6.1978,102.171,78.8,5.75
Usinsk,100,RU,1612538616,91,65.9939,57.5281,-6.41,12.03
Biak,100,ID,1612538616,79,-0.9131,122.8766,77.72,4.76
Touros,40,BR,1612538616,55,-5.1989,-35.4608,87.8,18.41
Ilulissat,20,GL,1612538616,37,69.2167,-51.1,10.4,12.66
Vila Velha,20,BR,1612538616,58,-20.3297,-40.2925,91.4,13.8
Monastyrshchina,96,RU,1612538617,95,54.3496,31.838,8.94,8.16
Aklavik,40,CA,1612538617,75,68.2191,-135.0107,-31.0,4.61
Ponta Porã,40,BR,1612538613,69,-22.5361,-55.7256,75.2,6.91
Säkylä,0,FI,1612538618,78,61.0333,22.3333,14.0,4.61
Provideniya,100,RU,1612538618,90,64.3833,-173.3,3.96,22.84
Gao,0,ML,1612538434,9,16.6362,1.637,92.44,11.92
Tananger,0,NO,1612538619,46,58.9333,5.6,28.0,14.97
Bushehr,0,IR,1612538619,46,28.9684,50.8385,71.6,21.85
Kurchum,85,KZ,1612538619,96,48.5722,83.6542,19.44,1.57
Mount Isa,40,AU,1612538619,55,-20.7333,139.5,87.8,8.05
Guerrero Negro,0,MX,1612538619,83,27.9769,-114.0611,56.98,7.83
Luanda,40,AO,1612538619,62,-8.8368,13.2343,86.0,10.36
Srednekolymsk,100,RU,1612538619,89,67.45,153.6833,-13.97,6.58
Zhoucheng,0,CN,1612538619,44,35.9122,116.3117,47.53,7.9
Toledo,53,ES,1612538619,56,39.8333,-4.0,66.99,8.46
Kavaratti,17,IN,1612538351,76,10.5669,72.642,81.61,11.07
Banda Aceh,6,ID,1612538620,83,5.5577,95.3222,78.06,11.21
Chebsara,75,RU,1612538620,78,59.2002,38.8356,5.0,4.47
Xichang,0,CN,1612538620,56,27.8964,102.2634,46.45,2.21
Zhigansk,22,RU,1612538620,75,66.7697,123.3711,-40.5,4.38
Port Keats,100,AU,1612538620,82,-14.25,129.55,82.45,11.27
Namatanai,100,PG,1612538588,85,-3.6667,152.4333,78.96,8.59
Omboué,100,GA,1612538620,79,-1.5746,9.2618,82.8,10.83
Upleta,0,IN,1612538620,53,21.7333,70.2833,73.4,3.44
Upernavik,100,GL,1612538621,75,72.7868,-56.1549,4.03,3.96
Parral,97,MX,1612538621,38,26.9333,-105.6667,55.2,1.01
Codrington,60,AU,1612538621,85,-38.2667,141.9667,55.54,12.41
Adjumani,100,UG,1612538621,16,3.3779,31.7909,96.1,4.88
Maceió,75,BR,1612538621,58,-9.6658,-35.7353,89.6,4.61
Nichinan,96,JP,1612538621,64,31.6,131.3667,50.29,4.21
Manta,90,EC,1612538621,78,-0.95,-80.7333,80.6,10.36
Itapirapuã,86,BR,1612538621,64,-15.8233,-50.6133,86.58,3.18
Markova,90,UA,1612538621,80,48.6758,24.4138,32.0,4.47
Grand Gaube,0,MU,1612538621,73,-20.0064,57.6608,81.0,7.0
Lakselv,75,NO,1612538622,93,70.0513,24.9718,23.0,2.3
Labuhan,98,ID,1612538622,84,-6.8844,112.2051,79.2,14.63
Kashgar,0,CN,1612538622,44,39.4547,75.9797,33.8,6.71
Avera,90,US,1612538622,96,33.194,-82.5271,54.0,6.91
Surovikino,100,RU,1612538622,96,48.6078,42.8486,32.09,22.91
Batemans Bay,100,AU,1612538622,88,-35.7167,150.1833,72.0,17.0
Bonavista,99,CA,1612538622,100,48.6499,-53.1147,39.99,8.05
Kamaishi,76,JP,1612538622,83,39.2667,141.8833,36.14,10.25
Adrar,58,MR,1612538622,24,20.5022,-10.0711,78.13,9.13
Belaya Gora,100,RU,1612538623,88,68.5333,146.4167,-19.41,7.11
Nurota,100,UZ,1612538623,40,40.5614,65.6886,51.8,4.61
Diu,0,IN,1612538623,54,20.7141,70.9822,68.95,7.54
Sühbaatar,100,MN,1612538623,87,50.2314,106.2078,2.91,2.1
Kodinsk,99,RU,1612538623,92,58.6881,99.1844,2.41,4.9
Merauke,100,ID,1612538330,88,-8.4667,140.3333,79.41,14.88
Yerbogachën,92,RU,1612538623,88,61.2767,108.0108,-15.57,2.75
Gore,100,NZ,1612538623,94,-46.1028,168.9436,46.71,1.01
Buin,13,CL,1612538623,64,-33.7333,-70.75,73.99,6.91
Cravo Norte,97,CO,1612538624,52,6.3017,-70.2041,88.83,12.12
Hobyo,0,SO,1612538624,74,5.3505,48.5268,77.0,13.98
Jamestown,75,US,1612538624,69,42.097,-79.2353,28.4,21.85
Khovd,77,MN,1612538624,85,48.0056,91.6419,17.51,0.4
Assiniboia,100,CA,1612538479,78,49.6334,-105.9845,-2.2,14.97
Tarazá,88,CO,1612538594,63,7.5836,-75.4007,85.69,1.99
Esfarāyen,0,IR,1612538624,24,37.0765,57.5101,51.8,2.3
Camocim,45,BR,1612538624,54,-2.9022,-40.8411,88.45,15.21
Vaijāpur,0,IN,1612538625,49,19.9167,74.7333,71.6,4.72
Kochki,99,RU,1612538625,97,54.3358,80.4806,17.96,6.93
Copiapó,40,CL,1612538625,63,-27.3667,-70.3333,66.2,4.61
Plettenberg Bay,5,ZA,1612538328,72,-34.0527,23.3716,74.14,9.55
Athy,97,IE,1612538625,85,52.9914,-6.9803,42.01,1.01
Tondano,40,ID,1612538625,94,1.3038,124.9112,77.0,1.14
Stornoway,75,GB,1612538625,75,58.2093,-6.3865,39.2,21.85
Marystown,100,CA,1612538532,91,47.1666,-55.1483,38.25,11.23
Tual,95,ID,1612538625,79,-5.6667,132.75,83.7,20.18
Tāsgaon,0,IN,1612538626,38,17.0333,74.6,75.34,13.58
Nouadhibou,20,MR,1612538626,64,20.931,-17.0347,69.8,14.97
Hede,0,CN,1612538626,94,33.7681,120.2517,41.31,8.48
Nishihara,20,JP,1612538626,55,26.1842,127.7558,64.4,4.61
Saint-François,0,FR,1612538627,82,46.4154,3.9054,53.01,8.05
Sitka,75,US,1612538627,100,57.0531,-135.33,33.8,4.61
Saldanha,3,ZA,1612538627,57,-33.0117,17.9442,77.0,23.02
Iglesias,0,IT,1612538627,60,39.3114,8.535,69.8,10.36
Pelym,100,RU,1612538627,97,61.0108,61.9978,15.4,2.86
Soyo,20,AO,1612538627,79,-6.1349,12.3689,84.2,8.05
Bow Island,100,CA,1612538628,85,49.8668,-111.3684,6.8,9.22
Ust'-Kut,99,RU,1612538628,92,56.7938,105.7672,3.25,2.77
Iqaluit,75,CA,1612538628,79,63.7506,-68.5145,19.4,19.57
Mitsamiouli,20,KM,1612538332,79,-11.3847,43.2844,84.2,5.75
Riedlingen,75,DE,1612538628,66,48.1545,9.4756,53.6,3.44
Coyhaique,0,CL,1612538628,49,-45.5752,-72.0662,71.6,3.44
Coquimbo,90,CL,1612538628,77,-29.9533,-71.3436,62.6,8.05
Bundaberg,17,AU,1612538629,88,-24.85,152.35,73.0,5.75
Glendive,90,US,1612538629,92,47.1053,-104.7125,12.0,9.22
Svelgen,0,NO,1612538530,46,61.7685,5.2955,28.4,14.97
Zapolyarnyy,75,RU,1612538629,86,69.4154,30.8136,24.8,12.66
Sarangani,100,PH,1612538629,76,5.4033,125.4636,82.8,16.8
Kidal,0,ML,1612538631,10,18.4411,1.4078,90.14,13.04
Katrineholm,40,SE,1612538631,79,58.9959,16.2072,19.4,6.91
Port Pirie,51,AU,1612538631,72,-33.1833,138.0167,64.4,10.36
Aswān,9,EG,1612538631,34,24.0934,32.907,71.55,18.59
Wajir,0,KE,1612538631,30,1.7471,40.0573,96.8,7.02
Kalga,31,RU,1612538631,84,50.9251,118.898,-11.42,3.44
Ossora,100,RU,1612538631,92,59.2353,163.0719,3.87,4.36
Puerto Peñasco,1,MX,1612538365,32,31.3167,-113.5333,50.0,9.22
Turukhansk,100,RU,1612538632,88,65.8167,87.9833,-19.61,4.32
Jüterbog,100,DE,1612538632,85,51.9833,13.0833,34.0,4.0
Broadstairs,0,GB,1612538632,71,51.3591,1.4394,51.01,3.0
Taltal,1,CL,1612538632,61,-25.4,-70.4833,69.75,6.62
Inhambane,75,MZ,1612538632,94,-23.865,35.3833,77.0,8.05
Pathein,0,MM,1612538434,86,16.7833,94.7333,70.95,4.52
Choya,100,RU,1612538632,96,52.0108,86.5467,23.29,2.53
Esqueda,0,MX,1612538632,53,30.7167,-109.5833,46.44,1.77
Jatiroto,100,ID,1612538632,88,-7.8833,111.1167,75.45,0.92
Astara,75,AZ,1612538633,76,38.5,48.6667,57.2,21.85
Dingle,97,PH,1612538633,89,10.9995,122.6711,75.87,7.45
Monrovia,40,LR,1612538633,58,6.3005,-10.7969,91.4,11.5
Alekseyevsk,99,RU,1612538633,91,57.8406,108.3492,0.93,3.74
Salalah,40,OM,1612538633,64,17.0151,54.0924,75.2,4.61
Aksarka,100,RU,1612538633,87,66.5606,67.7975,-19.84,8.84
Beyneu,25,KZ,1612538633,53,45.3167,55.2,49.55,10.09
Muroto-misakicho,98,JP,1612538633,59,33.2833,134.15,53.87,11.9
Chilca,40,PE,1612538588,73,-12.5211,-76.7372,73.4,6.91
Bengkulu,76,ID,1612538634,85,-3.8004,102.2655,78.03,4.09
Sechura,100,PE,1612538634,61,-5.5569,-80.8222,77.54,10.49
Mount Gambier,75,AU,1612538634,94,-37.8333,140.7667,55.4,11.5
Takaka,81,NZ,1612538634,79,-40.85,172.8,57.99,1.99
Camargo,51,MX,1612538634,36,27.6667,-105.1667,58.12,7.63
Garissa,5,KE,1612538634,28,-0.4536,39.6401,94.28,6.15
Awjilah,0,LY,1612538634,28,29.1081,21.2869,71.02,6.62
Vao,7,NC,1612538634,86,-22.6667,167.4833,78.28,18.5
Nome,40,US,1612538635,79,64.5011,-165.4064,15.8,23.02
Derzhavīnsk,100,KZ,1612538635,97,51.1,66.3167,33.28,7.52
Wau,26,SS,1612538635,11,7.7029,27.9953,95.18,8.75
Lázaro Cárdenas,38,MX,1612538635,74,17.9583,-102.2,75.4,3.78
Marzuq,0,YE,1612538635,39,14.4,46.4667,66.63,11.72
Alofi,100,NU,1612538635,94,-19.0595,-169.9187,77.0,6.91
Massaguet,0,TD,1612538635,8,12.4755,15.4365,89.6,16.11
Sanok,99,PL,1612538635,95,49.5557,22.2056,30.0,4.14
Fernandina Beach,90,US,1612538636,55,30.6697,-81.4626,60.01,14.97
Bangassou,6,CF,1612538636,12,4.7413,22.8184,100.6,5.46
Pangody,79,RU,1612538636,87,65.85,74.4859,-23.13,2.68
Agirish,100,RU,1612538636,97,61.9247,63.0231,11.55,1.7
Seminole,1,US,1612538636,55,28.7086,-81.2081,66.99,14.97
San Rafael,0,AR,1612538460,22,-34.6177,-68.3301,81.9,8.7
Talnakh,100,RU,1612538636,84,69.4865,88.3972,-22.63,5.66
Aripuanã,99,BR,1612538636,91,-9.1667,-60.6333,77.49,3.8
Clyde River,75,CA,1612538637,76,70.4692,-68.5914,-20.2,17.27
